Protein	pval_unambiguous	pval_IgM	pval_GenderMale	pval_RaceIndo	pval_Days_since_onset_corrected	pval_Age	coef_unambiguous	coef_IgM	coef_GenderMale	coef_RaceIndo	coef_Days_since_onset_corrected	coef_Age
A0A075B7D8	0.19244	0.80862	0.36492	0.58993	0.65815	0.83243	-0.51	0.1	0.34	-0.23	-0.03	-0.01
A0A087WSX0	0.31964	0.96224	0.68012	0.90049	0.80424	0.54457	-0.37	0.02	0.16	-0.05	0.01	-0.02
A0A087WSY5;Q96IY4	0.39066	0.59108	0.2432	0.30933	0.33432	0.01976	0.17	0.11	-0.22	-0.22	0.03	0.04
A0A087WSY6	0.0821	0.20564	0.53621	0.88387	0.68242	0.68701	-0.36	-0.28	-0.12	0.03	-0.01	-0.01
A0A087X0M8;O00533;O00533-2	0.17739	0.80906	0.7896	0.57744	0.91393	0.42492	-0.15	0.03	0.03	0.07	0	0.01
A0A087X0Q4	0.46599	0.51497	0.76295	0.9034	0.7826	0.90552	0.14	0.14	-0.06	0.03	-0.01	0
A0A087X1J7;P22352	0.14324	0.41714	0.01607	0.77803	0.9662	0.09387	0.36	0.21	-0.59	0.07	0	0.04
A0A096LPE2	0.03152	0.10938	0.30825	0.8079	0.31326	0.14584	0.69	0.54	-0.31	-0.08	-0.05	0.04
A0A0A0MRJ7;P12259	0.77242	0.33256	0.18525	0.34242	0.62851	0.01366	0.06	0.2	-0.25	-0.2	-0.01	0.04
A0A0A0MS09;P01880;P01880-2	0.72091	0.95378	0.70229	0.50775	0.89041	0.64002	-0.21	0.04	0.23	0.44	0.01	0.02
A0A0A0MS14	0.56048	0.36217	0.48829	0.15214	0.4931	0.91958	0.13	0.21	0.15	-0.35	-0.02	0
A0A0A0MS15	0.10968	0.2311	0.12474	0.34063	0.4244	0.27082	0.54	0.43	-0.5	-0.35	0.04	0.03
A0A0A0MT36	0.96465	0.45811	0.13721	0.75637	0.33036	0.62122	0.02	0.31	-0.57	0.13	0.06	0.02
A0A0A0MT69	0.6352	0.82776	0.88257	0.9038	0.4745	0.71843	0.15	-0.07	-0.05	0.04	-0.03	0.01
A0A0B4J1U3	0.61205	0.02288	0.46613	0.20814	0.0344	0.92182	-0.17	-0.87	-0.24	0.47	0.11	0
A0A0B4J1U7	0.5477	0.81514	0.14519	0.43975	0.47699	0.66674	0.27	-0.11	-0.64	0.38	0.05	-0.02
A0A0B4J1V0	0.03797	0.53728	0.0082	0.79456	0.56792	0.48608	0.79	0.24	-0.98	-0.1	0.03	0.02
A0A0B4J1V2	0.24203	0.45234	0.71357	0.29244	0.94372	0.6117	0.37	-0.26	-0.11	0.35	0	-0.01
A0A0B4J1V6	0.46456	0.89195	0.14783	0.19864	0.76074	0.78274	0.19	0.04	-0.36	-0.37	0.01	0.01
A0A0B4J1X5	0.83572	0.00989	0.7993	0.16358	0.447	0.87847	-0.06	-0.82	0.07	0.44	-0.03	0
A0A0B4J1X8	0.82617	0.48575	0.85702	0.82839	0.86325	0.47927	0.06	0.21	0.05	0.07	-0.01	-0.02
A0A0B4J1Y8	0.9207	0.85617	0.57399	0.58793	0.6706	0.47972	0.04	0.08	0.21	0.23	0.02	-0.02
A0A0B4J1Y9	0.33898	0.87849	0.08765	0.57619	0.90066	0.2674	0.37	-0.06	-0.65	0.23	-0.01	0.04
A0A0B4J231;B9A064	0.20147	0.49063	0.14428	0.59462	0.83502	0.48228	-0.38	-0.22	0.42	0.17	-0.01	-0.02
A0A0B4J2B5	0.41346	0.57635	0.51338	0.68526	0.05108	0.0559	-0.15	-0.11	0.12	0.08	0.06	-0.03
A0A0B4J2D9;P0DP09	0.71506	0.46263	0.46061	0.36506	0.89571	0.47839	0.2	0.45	-0.41	-0.59	-0.01	0.04
A0A0B4J2H0	0.70899	0.18084	0.58359	0.05471	0.84815	0.39394	0.17	0.65	0.24	-0.97	-0.01	-0.03
A0A0C4DFP6;Q9NQ79;Q9NQ79-2	0.51781	0.23769	0.56907	0.99222	0.42902	0.69996	-0.14	-0.27	0.12	0	-0.03	0.01
A0A0C4DH24	0.44658	0.79032	0.30485	0.64553	0.98006	0.66386	0.27	-0.1	-0.35	0.17	0	0.01
A0A0C4DH25	0.22924	0.02215	0.45917	0.75472	0.97193	0.02894	-0.26	-0.54	0.15	-0.07	0	-0.04
A0A0C4DH29	0.27932	0.87835	0.64123	0.07306	0.59467	0.51044	0.28	0.04	-0.12	-0.51	0.02	-0.02
A0A0C4DH31	0.10763	0.37525	0.04642	0.22159	0.21245	0.05431	-0.44	0.25	0.53	-0.36	0.05	-0.05
A0A0C4DH33	0.49058	0.81518	0.96171	0.79602	0.47904	0.526	0.24	-0.09	0.02	-0.1	-0.04	-0.02
A0A0C4DH34	0.49032	0.62767	0.35701	0.97299	0.88026	0.67708	0.15	0.11	-0.19	0.01	0	0.01
A0A0C4DH35	0.828	0.30664	0.64727	0.64104	0.07612	0.81553	0.03	0.14	-0.06	-0.06	0.04	0
A0A0C4DH36	0.21272	0.42294	0.06349	0.88976	0.72143	0.54107	-0.24	-0.17	-0.35	0.03	-0.01	0.01
A0A0C4DH38	0.05522	0.4198	0.09878	0.83897	0.75302	0.71963	0.64	0.28	-0.53	-0.07	0.02	-0.01
A0A0C4DH39	0.43065	0.42549	0.71739	0.55876	0.89932	0.54187	0.21	0.24	-0.1	0.17	0	-0.01
A0A0C4DH55;A0A0C4DH90	0.30663	0.84552	0.99812	0.06275	0.73289	0.73566	-0.28	-0.06	0	-0.56	0.01	0.01
A0A0C4DH67	0.03309	0.70574	0.04759	0.56166	0.62712	0.23635	0.63	0.11	-0.57	0.18	0.02	0.03
A0A0C4DH68	0.09897	0.80305	0.14637	0.70006	0.38881	0.12689	0.48	0.08	-0.41	-0.12	0.04	0.04
A0A0C4DH72	0.19456	0.23999	0.49422	0.5786	0.40409	0.34546	0.53	0.51	-0.27	-0.24	0.05	0.03
A0A0C4DH73;P01611	0.69869	0.88871	0.61644	0.93956	0.44983	0.067	0.14	-0.05	-0.16	-0.03	0.04	0.06
A0A0G2JMB2	0.4225	0.38658	0.71572	0.54076	0.32627	0.45471	-0.2	0.23	0.09	-0.16	0.04	0.02
A0A0G2JMI3	0.02252	0.67108	0.78306	0.17752	0.94745	0.53179	0.65	0.12	0.07	0.4	0	0.02
A0A0G2JRQ6	0.70886	0.63474	0.49441	0.27722	0.06687	0.30577	-0.09	0.12	-0.16	-0.28	-0.07	0.02
A0A0G2JS06	0.19347	0.97085	0.71174	0.65486	0.64452	0.20174	-0.45	-0.01	0.12	0.17	-0.02	-0.04
A0A0J9YVT0;P0DP02	0.38441	0.58563	0.63521	0.7061	0.73965	0.66975	0.14	0.09	-0.07	-0.06	0.01	-0.01
A0A0J9YX35	0.42556	0.90168	0.06347	0.84223	0.82247	0.41599	0.22	0.04	-0.51	-0.06	0.01	0.02
A0A0J9YXX1	0.69971	0.3699	0.13354	0.90615	0.75666	0.3928	-0.34	-0.87	-1.33	-0.12	0.05	-0.07
A0A0J9YY99	0.89675	0.26518	0.69607	0.80496	0.61499	0.13768	-0.02	-0.23	-0.07	0.05	0.01	-0.03
A0A0U1RR20;Q92954;Q92954-3;Q92954-6	0.98165	0.61555	0.34942	0.28086	0.43686	0.67459	-0.01	-0.12	-0.2	-0.26	0.03	0.01
A0A140TA49	0.77324	0.96265	0.07714	0.99999	0.49246	0.16805	0.14	-0.02	-0.86	0	-0.05	0.06
A0A182DWH7;P49908	0.78983	0.45069	0.26403	0.65183	0.8064	0.19448	0.04	-0.12	-0.17	-0.08	-0.01	0.02
A0A1W2PP64	0.03228	0.67664	0.43973	0.63816	0.51823	0.48507	0.7	-0.15	-0.24	-0.17	-0.03	0.02
A0A1W2PQB1;H0Y755;M9MML0;P08637	0.62453	0.14877	0.3978	0.64273	0.40237	0.80572	-0.1	0.33	-0.17	-0.1	0.03	0
A0A286YEY5;P01877	0.69749	0.7707	0.40492	0.29228	0.00469	0.1497	-0.14	-0.11	-0.29	-0.4	0.16	0.05
A0M8Q6	0.99867	0.32336	0.28959	0.88975	0.92051	0.76498	0	0.31	-0.3	-0.04	0	-0.01
A6XND0;A6XND1;P17936;P17936-2	0.20703	0.37106	0.47975	0.44757	0.40984	0.49487	-0.33	-0.25	-0.17	-0.21	-0.03	-0.02
B0YIW2;P02656	0.31457	0.66954	0.04641	0.9235	0.61446	0.04315	0.3	-0.13	-0.58	-0.03	-0.02	0.05
B4DPQ0	0.44288	0.06628	0.30558	0.47824	0.91286	0.17758	0.14	0.35	-0.18	-0.14	0	0.02
B4E1Z4	0.9634	0.04026	0.67553	0.73553	0.41182	0.3353	0.01	0.5	0.09	-0.08	-0.03	0.02
C9JB55	0.43748	0.91516	0.15439	0.5078	0.8271	0.58917	0.13	0.02	-0.23	-0.11	0.01	0.01
C9JEE0	0.73975	0.97194	0.1402	0.56086	0.74553	0.1795	0.08	0.01	0.38	0.18	-0.01	-0.03
C9JF17;P05090	0.05889	0.18453	0.87631	0.43191	0.69979	0.25462	-0.37	-0.27	-0.03	0.16	-0.01	0.02
D6R934;P02746	0.02388	0.27073	0.31467	0.78988	0.34806	0.60853	-0.52	-0.26	0.22	0.06	-0.03	0.01
D6RF35	0.86464	0.39712	0.48681	0.91594	0.56649	0.04559	0.07	0.35	-0.28	-0.05	-0.03	0.07
E7END6;P04070;P04070-2	0.69682	0.3354	0.0528	0.5721	0.86439	0.05191	0.08	-0.22	-0.41	-0.13	0.01	0.04
E7ER44;P02788	0.66683	0.50225	0.11282	0.4321	0.80701	0.14154	-0.17	0.29	-0.62	-0.33	0.02	0.05
E7ETH0;G3XAM2;P05156	0.84055	0.26363	0.80288	0.9895	0.59226	0.17263	-0.03	0.16	0.03	0	-0.01	0.02
E9PFZ2	0.68148	0.98553	0.86632	0.95959	0.49168	0.91535	0.38	0.02	0.14	-0.05	-0.1	0.01
E9PHK0;P05452	0.15067	0.0029	0.92738	0.14458	0.02678	0.94432	-0.3	-0.69	-0.02	0.33	0.07	0
F5H8B0;P08709;P08709-2	0.92843	0.66559	0.60516	0.29416	0.02466	0.79386	-0.01	0.06	0.06	0.14	-0.04	0
F8WF14;P06276	0.09797	0.76043	0.39256	0.84805	0.54205	0.32003	0.32	-0.06	-0.16	0.04	0.02	0.02
G3V0E5;P02786	0.00262	0.39325	0.05704	0.28045	0.10711	0.06961	-0.41	-0.12	0.24	-0.15	0.03	-0.02
G3V2W1;Q9UK55	0.85595	0.5465	0.11836	0.75756	0.46803	0.21777	0.04	0.15	-0.35	0.08	0.03	0.03
G3XAK1;P26927	0.19073	0.85387	0.47035	0.19172	0.45739	0.13201	-0.26	0.04	0.14	0.29	-0.02	0.03
G3XAP6;P49747	0.13925	0.00403	0.77428	0.00785	0.49614	0.76905	-0.17	-0.38	0.03	0.37	-0.01	0
H0Y2P0;H0Y5E4;H0YCV9;H0YDW7;H0YDX6;P16070;P16070-10;P16070-11;P16070-12;P16070-13;P16070-14;P16070-15;P16070-16;P16070-17;P16070-18;P16070-3;P16070-4;P16070-5;P16070-6;P16070-7;P16070-8;P16070-9	0.20792	0.0746	0.94298	0.26175	0.66648	0.56649	0.14	0.22	0.01	-0.13	-0.01	0.01
H0Y512;Q9HDC9	0.21719	0.75751	0.59533	0.43231	0.83693	0.11166	0.22	0.06	-0.09	-0.15	0.01	0.02
H0YAC1;P03952	0.20502	0.68798	0.83054	0.92761	0.25147	0.05264	-0.15	-0.05	-0.02	-0.01	-0.02	0.02
I3L145;P04278	0.51708	0.25397	0.50603	0.29694	0.74927	0.5882	0.21	0.4	0.21	0.38	-0.02	0.02
J3KPA1;P54108;P54108-2;P54108-3	0.57105	0.23861	0.31957	0.66357	0.23264	0.39521	0.05	0.11	0.09	-0.04	0.01	0.01
K7ERG9;P00746	0.99037	0.71267	0.12505	0.84837	0.46692	0.01219	0	0.12	-0.46	-0.06	-0.03	0.07
O00187	0.79497	0.35481	0.22433	0.48386	0.81624	0.47084	-0.05	-0.18	-0.22	-0.14	-0.01	-0.01
O00391	0.84551	0.18003	0.7099	0.39963	0.20448	0.35238	0.05	0.35	-0.09	-0.22	-0.05	0.02
O14791;O14791-2	0.08702	0.04186	0.10702	0.0871	0.54382	0.26213	0.45	0.58	-0.41	-0.49	-0.02	0.03
O15439;O15439-2;O15439-3;O15439-4	0.23472	0.18443	0.56418	0.17352	0.57002	0.78081	-0.25	-0.28	-0.11	0.28	0.02	0
O43866	0.29426	0.37226	0.24132	0.86346	0.52007	0.12672	-0.23	-0.21	-0.25	-0.04	-0.02	-0.03
O75636	0.61459	0.42941	0.00745	0.56364	0.67621	0.24361	0.13	0.21	-0.69	-0.16	-0.02	0.03
O75882-2	0.20036	0.95796	0.04212	0.58259	0.57595	0.15914	0.24	-0.01	-0.37	0.11	-0.02	0.02
O95445	0.56554	0.55367	0.64101	0.86127	0.75906	0.20898	-0.09	-0.1	-0.07	-0.03	0.01	0.02
P00450	0.32957	0.00705	0.40636	0.50972	0.8212	0.62712	0.14	0.43	-0.11	-0.1	0	0.01
P00734	0.50675	0.32479	0.52407	0.27113	0.53241	0.2241	-0.06	0.1	-0.06	-0.12	0.01	0.01
P00738	0.40687	0.13258	0.49428	0.40291	0.12556	0.177	-0.29	0.56	0.23	-0.32	-0.08	-0.04
P00739	0.22282	0.1174	0.30272	0.2206	0.59904	0.13042	0.45	0.62	-0.37	-0.49	-0.03	0.05
P00740	0.24516	0.44316	0.18926	0.22548	0.48867	0.06798	-0.26	0.18	0.28	-0.29	-0.02	0.04
P00742	0.49991	0.29914	0.02894	0.95338	0.61995	0.00195	-0.07	0.12	-0.23	0.01	-0.01	0.03
P00747	0.90402	0.59451	0.15513	0.86124	0.68151	0.11276	0.01	0.06	-0.15	-0.02	-0.01	0.02
P00748	0.91015	0.12273	0.21091	0.42392	0.4097	0.75559	-0.03	-0.4	-0.29	0.21	0.03	0.01
P00915	0.75078	0.19304	0.88384	0.6104	0.69636	0.91408	-0.1	-0.44	-0.05	0.17	-0.02	0
P00918	0.28427	0.17068	0.67572	0.30832	0.96682	0.61441	0.32	-0.42	0.13	-0.34	0	0.01
P01008	0.38368	0.22741	0.71508	0.84301	0.77615	0.16833	0.1	-0.15	0.04	0.02	0.01	-0.01
P01009	0.02253	0.01982	0.06531	0.31001	0.74817	0.18734	1.28	1.4	-0.99	-0.6	-0.03	0.06
P01011	0.34389	0.00956	0.33273	0.62418	0.68382	0.28116	0.24	0.74	-0.24	-0.14	-0.02	0.02
P01019	0.01266	0.0441	0.01179	0.91547	0.21488	0.01828	0.55	0.46	-0.53	0.02	-0.04	0.05
P01023	0.01955	0.89162	0.10075	0.50333	0.68405	0.86051	0.59	0.04	-0.39	0.18	-0.02	0
P01024	0.26481	0.01023	0.59556	0.16909	0.30816	0.0464	0.24	0.61	-0.11	-0.32	-0.03	0.04
P01031	0.19194	0.0648	0.01912	0.22999	0.68647	0.0851	0.27	0.42	-0.48	-0.27	-0.01	0.03
P01034	0.03455	0.10364	0.99712	0.96512	0.67929	0.75076	-0.48	-0.39	0	0.01	0.01	-0.01
P01042	0.02207	0.46318	0.4228	0.78847	0.34022	0.11847	-0.21	-0.07	-0.07	-0.03	0.01	0.01
P01042-2	0.60383	0.66332	0.18226	0.04319	0.98953	0.37546	0.14	0.12	-0.34	-0.59	0	0.02
P01344;P01344-3	0.07149	0.13058	0.45332	0.63134	0.58159	0.48798	-0.24	-0.21	-0.09	-0.06	0.01	-0.01
P01591	0.36282	0.22875	0.97813	0.64084	0.26116	0.09381	-0.18	-0.26	-0.01	0.1	0.04	-0.03
P01593;P01594	0.43306	0.86079	0.66704	0.61934	0.25564	0.03465	-0.17	-0.04	0.09	-0.12	0.04	-0.04
P01597;P04432	0.1938	0.87759	0.48978	0.71085	0.95093	0.73291	0.48	0.07	-0.25	0.15	0	0.01
P01599	0.65009	0.20728	0.01927	0.74843	0.28571	0.80943	0.17	-0.51	-0.88	0.13	0.06	-0.01
P01601	0.14812	0.98084	0.96342	0.14148	0.42712	0.73112	0.33	0.01	0.01	0.36	0.03	-0.01
P01602	0.50692	0.53759	0.97049	0.42152	0.16019	0.33983	0.24	-0.24	0.01	-0.32	0.08	-0.03
P01619	0.25198	0.37425	0.19374	0.71294	0.92407	0.73751	-0.21	-0.17	0.23	0.07	0	-0.01
P01624	0.41568	0.20027	0.84751	0.38555	0.16085	0.83369	0.2	0.34	-0.05	-0.23	-0.05	0
P01699	0.92229	0.30139	0.27595	0.54918	0.09994	0.83492	-0.03	0.31	-0.3	-0.18	0.07	0.01
P01700	0.54561	0.47232	0.31704	0.48842	0.39565	0.69384	0.13	-0.16	-0.21	0.16	0.03	0.01
P01701	0.61274	0.26275	0.26246	0.93872	0.80785	0.59543	0.12	0.28	-0.25	-0.02	0.01	-0.01
P01703	0.3478	0.45931	0.23815	0.25167	0.77839	0.79483	0.31	0.26	-0.37	-0.41	-0.01	0.01
P01704	0.93422	0.90726	0.87941	0.99684	0.50863	0.98024	-0.06	0.08	-0.1	0	0.07	0
P01705	0.82131	0.09695	0.48033	0.34759	0.16609	0.33383	-0.08	0.54	0.23	0.32	0.07	-0.03
P01706	0.63025	0.55432	0.10509	0.81977	0.94767	0.95119	0.12	0.15	-0.38	0.06	0	0
P01709	0.656	0.52711	0.51731	0.57923	0.72987	0.96019	0.12	0.19	-0.17	-0.16	0.01	0
P01714	0.14794	0.1361	0.73721	0.18619	0.7907	0.99694	0.58	0.63	-0.13	-0.58	-0.02	0
P01717	0.30695	0.47958	0.91084	0.46134	0.56761	0.43881	0.29	0.22	0.03	-0.23	0.02	-0.02
P01718	0.48336	0.17182	0.17992	0.30246	0.23837	0.93065	0.31	0.66	-0.57	-0.48	0.08	0
P01721	0.41572	0.74091	0.77084	0.27293	0.04211	0.56861	0.26	0.12	-0.09	-0.37	0.09	-0.02
P01742	0.51051	0.16259	0.67169	0.01593	0.33665	0.12783	0.26	0.63	-0.16	-1.17	0.06	-0.05
P01743	0.58343	0.16007	0.83673	0.57843	0.238	0.84865	0.15	0.42	-0.06	-0.17	-0.05	0
P01762	0.67739	0.85874	0.32224	0.37633	0.69962	0.151	-0.11	-0.05	0.25	-0.26	0.01	-0.03
P01766	0.31153	0.77296	0.62605	0.34468	0.43085	0.52093	-0.15	-0.05	-0.07	0.15	0.02	0.01
P01780	0.11516	0.59951	0.40209	0.86131	0.23447	0.73894	0.78	0.27	-0.39	0.09	0.09	0.01
P01782	0.1313	0.25816	0.59449	0.71218	0.61071	0.95258	0.37	0.29	-0.12	-0.1	0.02	0
P01817	0.62641	0.69338	0.53228	0.44414	0.37601	0.80832	0.12	-0.11	-0.16	0.22	0.03	0.01
P01833	0.69456	0.90108	0.11216	0.84191	0.69831	0.79021	-0.09	0.03	-0.36	-0.06	0.01	0
P01834	0.49009	0.85878	0.03593	0.86222	0.63532	0.63218	0.12	-0.03	-0.35	-0.03	0.01	0.01
P01857	0.3617	0.83172	0.5276	0.50269	0.82959	0.30483	-0.13	-0.03	0.08	-0.1	0	-0.01
P01859	0.15016	0.26148	0.28379	0.92767	0.06617	0.83521	-0.25	-0.2	-0.18	0.02	0.05	0
P01860	0.05183	0.11706	0.39947	0.55261	0.5387	0.36872	-0.51	-0.43	0.21	0.17	-0.02	-0.02
P01861	0.48611	0.09923	0.47422	0.87078	0.98446	0.56029	-0.3	-0.78	-0.3	0.08	0	-0.02
P01871	0.72585	0.80927	0.10764	0.64575	0.58941	0.23503	-0.09	-0.07	-0.4	-0.13	-0.02	-0.03
P01876	0.12537	0.72796	0.35033	0.58687	0.15667	0.55091	-0.36	0.09	0.21	-0.14	0.05	0.01
P02042	0.05014	0.75798	0.13093	0.50081	0.37231	0.86103	0.99	-0.16	-0.74	-0.35	0.07	-0.01
P02647	0.04359	0.29916	0.0288	0.60063	0.31164	0.05986	1.17	0.63	-1.22	-0.32	-0.09	0.1
P02649	0.16916	0.31053	0.00761	0.44326	0.99377	0.15697	0.33	0.26	-0.63	-0.2	0	0.03
P02652;V9GYM3	0.23604	0.96917	0.03776	0.88586	0.71598	0.24871	0.32	0.01	-0.56	-0.04	-0.02	0.03
P02671	0.28462	0.69916	0.09837	0.01371	0.68986	0.16268	-0.54	-0.21	0.81	1.39	0.03	-0.06
P02675	0.08423	0.12465	0.15405	0.11035	0.21202	0.20282	-1.71	-1.56	1.27	1.68	0.18	-0.1
P02679;P02679-2	0.12238	0.1585	0.23665	0.45397	0.34308	0.19439	-1.88	-1.74	1.36	0.99	0.17	-0.13
P02741	0.3617	0.00399	0.59719	0.44738	0.70107	0.59259	-0.63	2.3	0.36	-0.58	-0.04	0.03
P02743	0.81136	0.45887	0.46704	0.3938	0.94387	0.24304	0.04	0.13	-0.11	-0.15	0	0.02
P02745	0.97356	0.36732	0.56014	0.47632	0.6902	0.62002	-0.01	0.16	-0.09	0.12	-0.01	0.01
P02747	0.2568	0.78091	0.45443	0.75094	0.11225	0.39131	-0.27	-0.07	0.17	-0.08	-0.06	0.02
P02748	0.09418	0.00219	0.49063	0.40366	0.81894	0.41724	0.42	0.84	-0.16	-0.22	0.01	0.02
P02749	0.41461	0.72232	0.7517	0.94055	0.85225	0.18018	-0.2	-0.09	0.07	0.02	-0.01	0.03
P02750	0.32461	0.00872	0.76204	0.83414	0.45419	0.29889	0.35	1.03	-0.1	0.08	-0.04	0.03
P02751-14;P02751-8	0.65266	0.59126	0.56772	0.19379	0.34421	0.17173	-0.12	-0.16	-0.15	0.4	-0.04	0.03
P02751;P02751-15;P02751-3;P02751-7	0.25023	0.76676	0.462	0.88658	0.11065	0.46481	-0.21	-0.06	0.13	-0.03	-0.05	0.01
P02753;Q5VY30	0.18695	0.01029	0.3415	0.68572	0.86924	0.34796	-0.32	-0.68	-0.22	-0.1	0.01	0.02
P02760	0.88248	0.55993	0.08198	0.9985	0.75305	0.026	0.03	0.12	-0.32	0	0.01	0.04
P02763	0.59977	0.00155	0.68122	0.42184	0.52024	0.99437	0.11	0.73	0.08	-0.18	-0.02	0
P02765	0.00912	0.02936	0.57714	0.47931	0.4998	0.15159	-0.32	-0.28	0.06	-0.09	0.01	-0.01
P02766	0.35072	0.2108	0.48099	0.23642	0.92338	0.2369	-0.2	-0.29	-0.15	-0.28	0	0.02
P02768	0.9009	0.28676	0.0553	0.14345	0.89844	0.99787	0.01	-0.13	-0.21	-0.18	0	0
P02774;P02774-3	0.18238	0.09113	0.03374	0.9305	0.25903	0.3634	-0.13	0.18	-0.2	0.01	-0.02	0.01
P02775	0.29599	0.09387	0.86944	0.02993	0.48306	0.11153	0.34	0.59	0.05	-0.79	-0.04	0.05
P02787	0.23815	0.175	0.13143	0.70882	0.51391	0.71819	0.14	-0.18	-0.18	-0.05	0.01	0
P02790	0.08426	0.1337	0.07794	0.32817	0.6996	0.1637	0.43	0.4	-0.43	-0.26	-0.01	0.03
P03951;P03951-2	0.92444	0.2204	0.53871	0.50245	0.58173	0.05375	0.03	-0.44	-0.19	-0.23	0.03	0.06
P04003	0.40833	0.0011	0.69362	0.04771	0.4802	0.02663	-0.07	0.31	-0.03	-0.18	0.01	0.02
P04004	0.36798	0.16402	0.48051	0.88459	0.32649	0.67747	-0.09	0.15	-0.07	-0.02	-0.02	0
P04114	0.04575	0.80328	0.0126	0.98432	0.91383	0.0199	0.58	-0.07	-0.71	-0.01	0	0.06
P04180	0.61822	0.80701	0.30281	0.44767	0.78657	0.03707	0.11	0.06	-0.23	0.19	-0.01	0.04
P04196	0.14741	0.3658	0.95468	0.35461	0.98717	0.21456	0.26	-0.17	-0.01	-0.18	0	0.02
P04211	0.51908	0.22664	0.71689	0.63404	0.31546	0.12628	0.15	0.29	-0.08	0.12	0.04	-0.03
P04217	0.61825	0.19982	0.1732	0.45901	0.19906	0.15503	-0.1	0.27	-0.26	-0.16	-0.04	0.03
P04275	0.11595	0.63769	0.3549	0.19017	0.43106	0.75686	-0.68	0.22	-0.38	0.61	-0.05	0.01
P04430	0.32566	0.81916	0.55127	0.82646	0.75165	0.28566	0.41	0.11	-0.24	0.1	-0.02	-0.04
P04433	0.61912	0.48294	0.06241	0.8989	0.46623	0.0251	0.12	-0.18	0.44	0.03	-0.03	-0.05
P05109	0.76111	0.967	0.43538	0.35283	0.3659	0.5368	0.13	0.02	-0.32	-0.45	0.06	0.02
P05155;P05155-3	0.01143	0.11984	0.02296	0.55009	0.73625	0.13199	0.74	0.47	-0.64	-0.18	-0.01	0.04
P05160	0.35987	0.75405	0.50323	0.76521	0.51104	0.0676	-0.12	-0.04	-0.09	0.04	0.01	0.02
P05534;P30447	0.90583	0.24101	0.39202	0.45631	0.66446	0.72042	0.04	0.47	0.31	-0.31	0.02	0.01
P05543	0.04883	0.12617	0.0278	0.76998	0.28427	0.38931	0.43	0.35	-0.47	-0.07	-0.04	0.02
P05546	0.257	0.35048	0.27623	0.83871	0.74416	0.16358	0.25	0.22	-0.23	-0.05	-0.01	0.03
P06310	0.02939	0.41086	0.66431	0.70925	0.04864	0.37343	-0.33	-0.13	-0.06	-0.06	0.05	-0.01
P06312	0.0375	0.49565	0.27124	0.20107	0.35441	0.96683	0.98	0.33	-0.49	0.64	0.07	0
P06331	0.06059	0.03537	0.32962	0.25714	0.87276	0.43119	0.59	0.7	-0.29	-0.38	-0.01	0.02
