Protein	pval_Zika	coef_Zika
O75882-2	0.72678	0.04
O95445	0.55956	0.06
P00450	0.26681	-0.11
P00734	0.97129	0
P00738	0.20192	0.48
P00739	0.97059	0.01
P00740	0.0938	0.23
P00742	0.59803	0.04
P00747	0.58224	0.04
P00748	0.60065	0.08
P00915	0.03074	0.43
P00918	2e-04	0.71
P01008	0.35493	-0.08
P01009	0.2938	0.34
P01011	0.99055	0
P01019	0.41176	0.12
P01023	0.87679	0.02
P01024	0.38419	0.11
P01031	0.15487	0.18
P01034	0.53177	-0.1
P01042	0.25513	-0.08
P01042-2	0.82729	0.04
P01344;P01344-3	0.37903	0.08
P01591	0.59775	0.07
P01593;P01594	0.5651	-0.09
P01597;P04432	0.35813	-0.21
P01599	0.10178	0.37
P01601	0.88598	-0.02
P01602	0.88485	-0.03
P01619	0.12335	0.21
P01624	0.27913	0.2
P01699	0.43481	-0.15
P01700	0.34889	0.13
P01701	0.32425	-0.16
P01703	0.99812	0
P01704	0.85442	-0.08
P01705	0.01222	-0.56
P01706	0.14097	0.27
P01709	0.35831	0.16
P01714	0.87238	0.04
P01717	0.3921	-0.18
P01718	0.50321	-0.24
P01721	0.53301	-0.13
P01742	0.97323	-0.01
P01743	0.53404	-0.12
P01762	0.32499	-0.17
P01766	0.57275	0.06
P01780	0.31084	0.29
P01782	0.7115	0.07
P01817	0.48235	-0.13
P01833	0.84296	-0.03
P01834	0.12947	0.21
P01857	0.41505	0.08
P01859	0.15084	0.3
P01860	0.98161	0
P01861	0.20016	0.39
P01871	0.10862	0.29
P01876	0.45786	0.17
P02042	0.02703	0.68
P02647	0.03092	0.7
P02649	0.33698	0.16
P02652;V9GYM3	0.02725	0.45
P02671	0.00015	-1.12
P02675	0.01197	-1.41
P02679;P02679-2	0.0123	-1.63
P02741	0.28052	-0.49
P02743	0.07515	0.21
P02745	0.89499	-0.02
P02747	0.31503	0.14
P02748	0.78103	0.04
P02749	0.74277	0.05
P02750	0.87544	-0.03
P02751-14;P02751-8	0.99504	0
P02751;P02751-15;P02751-3;P02751-7	0.44841	0.13
P02753;Q5VY30	0.08047	0.29
P02760	0.38377	0.1
P02763	0.90105	-0.02
P02765	0.9078	-0.01
P02766	0.00091	0.48
P02768	0.03581	0.16
P02774;P02774-3	0.27117	-0.08
P02775	0.03395	0.6
P02787	0.00535	0.22
P02790	0.421	0.18
P03951;P03951-2	0.00696	0.52
P04003	0.03367	-0.13
P04004	0.09704	-0.13
P04114	0.03757	0.37
P04180	0.55139	0.08
P04196	0.08499	0.2
P04211	0.70984	-0.06
P04217	0.32317	0.11
P04275	0.05744	-0.51
P04430	0.20821	-0.29
P04433	0.23266	0.23
P05109	0.31718	0.26
P05155;P05155-3	0.31708	0.18
P05160	0.72467	-0.05
P05534;P30447	0.48277	-0.13
P05543	0.60529	0.08
P05546	0.13624	0.18
P06310	0.6889	0.05
P06312	0.3369	0.27
P06331	0.76947	0.06
P06396	0.00022	0.31
P06681	0.86936	0.02
P06727	0.03029	0.47
P07195	0.49311	-0.1
P07225	0.29906	0.08
P07357	0.59002	0.06
P07358	0.54295	-0.07
P07360	0.96299	0
P07996	0.06438	0.48
P08185	0.35969	0.2
P08519	0.37681	-0.29
P08571	0.06072	-0.3
P08603	0.6223	0.04
P08697	0.30793	0.13
P09871	0.97368	0
P0C0L5	0.49911	0.12
P0DJI8	0.27813	-0.67
P0DJI9	0.06414	-1.09
P0DOY2	0.9661	0
P10643	0.02301	-0.25
P10720	0.01348	0.73
P10909;P10909-2;P10909-4;P10909-5	0.00831	0.46
P13671	0.63862	-0.04
P13796	0.29862	0.18
P14151;P14151-2	0.92009	0.02
P15169	0.70436	0.06
P15814	0.02999	0.55
P18428	0.62382	0.13
P19320	0.21044	-0.11
P19652	0.5198	0.1
P19823	0.42105	0.06
P19827	0.18748	0.12
P20742	0.43588	-0.29
P20851;P20851-2	0.53938	0.06
P22792	0.24735	-0.11
P22891;P22891-2	0.42706	0.09
P23083	0.61947	-0.06
P23142	0.01133	-0.28
P23142-4	0.3841	0.1
P25311	0.18349	0.15
P27169	0.25452	0.15
P27918	0.21668	0.27
P29622	0.00403	0.46
P32119	0.19569	0.34
P33151	0.8166	0.02
P35443	0.89897	0.02
P35858;P35858-2	0.03923	0.55
P36955	0.04312	0.19
P36980;P36980-2	0.10272	-0.29
P41222	0.31321	-0.18
P43251;P43251-2;P43251-3;P43251-4	0.55828	-0.07
P43652	0.17202	0.18
P48740	0.73221	0.05
P51884	0.19783	0.19
P55058	0.35299	0.14
P55290;P55290-4	0.41949	-0.07
P59665;P59666	0.89249	0.04
P60709;P63261	0.60614	0.12
P61626	0.80567	-0.05
P61769	0.19795	-0.21
P68871	0.00843	1.04
P69905	0.01328	0.88
P80108	0.00571	0.46
P80748	0.85669	0.07
Q03591	0.40237	-0.23
Q04756	0.1904	0.17
Q06033;Q06033-2	0.03276	-0.28
Q08211	0.67041	0.05
Q08380	0.80083	-0.06
Q12805;Q12805-2;Q12805-4	0.66833	-0.06
Q13790	0.84554	-0.03
Q14520;Q14520-2	0.20678	0.12
Q14624	0.17829	0.1
Q15485	0.51863	-0.09
Q15848	0.11654	-0.18
Q16610	0.97196	-0.01
Q5T7N2	0.09595	0.64
Q68DL7	0.53804	-0.11
Q6EMK4	0.46859	0.04
Q6UXB8;Q6UXB8-2	0.97401	0
Q92496;Q92496-2	0.59079	-0.13
Q92905	0.4395	-0.07
Q96KN2	0.11247	0.3
Q96PD5	0.02711	0.27
Q9BXR6	0.49471	0.1
Q9NZP8	0.28286	0.16
Q9UEU0;Q9UEU0-2	0.01061	-0.49
Q9UGM5	0.27006	0.13
Q9Y6R7	0.58509	0.11
