Protein	pval_unambiguous	coef_unambiguous
P02787	0.49208	0.06
P02790	0.45052	0.18
P03951;P03951-2	0.29729	0.23
P04003	0.45553	-0.05
P04004	0.57273	0.05
P04114	0.22709	0.23
P04180	0.84352	0.03
P04196	0.06892	0.22
P04211	0.25943	-0.21
P04217	0.04783	-0.24
P04275	0.00958	-0.75
P04430	0.96712	-0.01
P04433	0.4295	0.17
P05109	0.94079	-0.02
P05155;P05155-3	0.95658	-0.01
P05160	0.94578	0.01
P05534;P30447	0.75155	-0.06
P05543	0.49215	-0.11
P05546	0.54241	0.08
P06310	0.44977	-0.11
P06312	0.79835	0.08
P06331	0.41502	0.19
P06396	0.88146	0.01
P06681	0.21362	-0.19
P06727	0.26869	0.26
P07195	0.91601	0.02
P07225	0.413	-0.07
P07357	0.05877	-0.22
P07358	0.29947	-0.13
P07360	0.31878	-0.1
P07996	0.01214	0.71
P08185	0.84043	-0.05
P08519	0.04818	-0.68
P08571	0.26502	-0.19
P08603	0.68207	-0.03
P08697	0.6108	-0.07
P09871	0.86428	-0.01
P0C0L5	0.54283	-0.12
P0DJI8	0.02625	-1.47
P0DJI9	0.02716	-1.51
P0DOY2	0.10727	-0.2
P10643	0.01757	-0.28
P10720	0.417	0.26
P10909;P10909-2;P10909-4;P10909-5	0.89295	-0.03
P13671	0.53696	-0.05
P13796	0.50805	0.12
P14151;P14151-2	0.93472	-0.01
P15169	0.54977	-0.1
P15814	0.72234	0.1
P18428	0.0386	-0.61
P19320	0.45761	-0.07
P19652	0.88553	-0.02
P19823	0.13528	0.13
P19827	0.60729	0.05
P20742	0.84648	0.08
P20851;P20851-2	0.69163	0.04
P22792	0.74901	0.03
P22891;P22891-2	0.22939	-0.15
P23083	0.98548	0
P23142	0.41758	-0.1
P23142-4	0.28947	-0.13
P25311	0.77452	-0.04
P27169	0.85166	-0.03
P27918	0.18772	0.3
P29622	0.35358	0.17
P32119	0.72438	0.1
P33151	0.21464	-0.13
P35443	0.66657	0.06
P35858;P35858-2	0.9651	0.01
P36955	0.12406	-0.16
P36980;P36980-2	0.39215	-0.17
P41222	0.08254	-0.33
P43251;P43251-2;P43251-3;P43251-4	0.48502	-0.1
P43652	0.80529	-0.04
P48740	0.40687	0.13
P51884	0.9362	-0.01
P55058	0.83538	-0.03
P55290;P55290-4	0.95726	0
P59665;P59666	0.9933	0
P60709;P63261	0.26764	0.28
P61626	0.86672	-0.04
P61769	0.99483	0
P68871	0.42849	0.35
P69905	0.34895	0.37
P80108	0.7873	-0.05
P80748	0.59694	0.22
Q03591	0.64031	0.14
Q04756	0.69049	0.06
Q06033;Q06033-2	0.67398	-0.06
Q08211	0.13004	-0.2
Q08380	0.56774	-0.15
Q12805;Q12805-2;Q12805-4	0.96873	-0.01
Q13790	0.75575	-0.06
Q14520;Q14520-2	0.51173	-0.07
Q14624	0.43081	-0.06
Q15485	0.19118	0.2
Q15848	0.19846	-0.17
Q16610	0.96309	-0.01
Q5T7N2	0.26381	0.46
Q68DL7	0.12108	-0.3
Q6EMK4	0.08782	0.11
Q6UXB8;Q6UXB8-2	0.81806	0.02
Q92496;Q92496-2	0.31702	-0.27
Q92905	0.24606	-0.11
Q96KN2	0.43539	0.17
Q96PD5	0.35253	0.13
Q9BXR6	0.42463	-0.13
Q9NZP8	0.35073	-0.15
Q9UEU0;Q9UEU0-2	0.02284	0.49
Q9UGM5	0.62163	0.06
Q9Y6R7	0.07988	-0.38
