Protein	pval_Zika	pval_IgM	pval_GenderMale	pval_RaceIndo	pval_Days_since_onset_corrected	pval_Age	coef_Zika	coef_IgM	coef_GenderMale	coef_RaceIndo	coef_Days_since_onset_corrected	coef_Age
P02750	0.07674	0.00294	0.78252	0.34472	0.67442	0.57947	0.92	1.47	0.09	0.37	-0.02	0.02
A0A0A0MRJ7;P12259	0.07916	0.0585	0.37566	0.77283	0.83682	0.02926	0.5	0.5	-0.16	-0.06	-0.01	0.04
P27918	0.07996	0.17058	0.89714	0.63436	0.68286	0.41969	0.63	0.45	0.03	-0.13	0.02	0.02
G3V0E5;P02786	0.08136	0.29836	0.40179	0.05328	0.21043	0.36423	-0.38	-0.21	0.11	-0.31	0.03	-0.01
B0YIW2;P02656	0.08214	0.56316	0.14446	0.52076	0.8633	0.11406	0.76	0.23	-0.42	0.21	-0.01	0.04
P05155;P05155-3	0.08253	0.09976	0.16086	0.70526	0.90263	0.47661	0.77	0.67	-0.41	0.13	0.01	0.02
P01704	0.08487	0.24557	0.81259	0.45628	0.6461	0.91975	-1.86	-1.04	-0.14	-0.58	0.05	0.01
P19320	0.08848	0.29524	0.76431	0.76777	0.08839	0.5017	-0.35	-0.19	-0.04	0.04	-0.04	0.01
P06312	0.09038	0.27155	0.72633	0.04509	0.19431	0.53355	1.19	0.7	-0.16	1.1	0.1	-0.03
P02787	0.09281	0.79442	0.34873	0.70616	0.31862	0.37637	0.3	-0.04	-0.11	0.05	0.02	-0.01
P01008	0.09288	0.01989	0.93247	0.77878	0.92736	0.22444	-0.29	-0.37	0.01	-0.04	0	-0.01
G3XAK1;P26927	0.09607	0.09578	0.35206	0.09867	0.56031	0.16222	0.5	0.46	0.18	0.38	-0.02	0.02
A0A0B4J1U3	0.09749	0.00581	0.23876	0.4202	0.03918	0.85208	-0.79	-1.36	-0.38	0.3	0.1	0
P09871	0.09785	0.36456	0.77689	0.10462	0.97948	0.82524	0.28	0.14	0.03	0.21	0	0
J3KPA1;P54108;P54108-2;P54108-3	0.10421	0.05523	0.09948	0.69385	0.10756	0.31762	0.29	0.33	0.15	0.04	0.02	0.01
P05543	0.10439	0.08444	0.13713	0.58866	0.50756	0.83182	0.53	0.52	-0.32	0.14	-0.02	0
P06681	0.10505	0.09029	0.70847	0.48114	0.73618	0.74939	0.57	0.55	-0.09	0.19	-0.01	0.01
P01860	0.1054	0.07858	0.88933	0.79955	0.32675	0.79809	-0.63	-0.63	0.04	-0.08	-0.04	-0.01
A0A0B4J2H0	0.10682	0.89568	0.81641	0.019	0.6869	0.55122	-1.04	-0.08	0.1	-1.22	-0.03	-0.02
A0A0B4J1V6	0.1085	0.36388	0.27535	0.76925	0.58587	0.99357	0.63	0.3	-0.27	-0.09	0.02	0
P01706	0.10993	0.15192	0.23354	0.40226	0.83063	0.6474	0.56	0.46	-0.27	0.22	0.01	-0.01
A0A075B7D0	0.1156	0.22307	0.5224	0.43856	0.77945	0.54275	1.11	0.79	0.3	-0.43	0.02	0.03
A6XND0;A6XND1;P17936;P17936-2	0.1165	0.45863	0.49287	0.75074	0.51543	0.41629	0.6	0.26	-0.17	-0.09	-0.03	-0.02
A0A0C4DH72	0.11756	0.10508	0.91583	0.85885	0.24569	0.6648	0.95	0.9	-0.04	0.08	0.07	0.02
P01780	0.12484	0.32232	0.83692	0.3538	0.12284	0.80782	1.12	0.67	-0.1	0.51	0.12	-0.01
B4E1Z4	0.12824	0.00872	0.42431	0.83763	0.54736	0.49688	0.49	0.8	0.17	0.05	-0.02	0.01
P02763	0.1296	8.00E-04	0.3908	0.84959	0.70082	0.69514	0.45	0.98	0.17	-0.04	-0.01	-0.01
A0A075B7B8	0.13133	0.74435	0.1683	0.41536	0.14265	0.22984	0.38	0.08	-0.24	0.16	0.04	-0.02
Q96KN2	0.1323	0.31128	0.55715	0.60783	0.79489	0.8324	0.81	0.53	0.18	-0.18	-0.01	0.01
P01834	0.13986	0.4946	0.09485	0.66511	0.4508	0.93376	0.37	0.16	-0.28	0.08	0.02	0
P02749	0.14102	0.32841	0.57878	0.63249	0.98503	0.2306	0.53	0.32	0.13	0.13	0	0.03
A0A075B6K4	0.14628	0.80398	0.25844	0.29053	0.10523	0.66873	-0.5	0.08	0.26	-0.28	0.06	-0.01
P04003	0.14805	0.04965	0.38725	0.01357	0.66499	0.00895	-0.18	0.22	-0.07	-0.24	0.01	0.02
A0A0B4J2B5	0.15082	0.20918	0.92916	0.87502	0.07779	0.10547	-0.41	-0.33	0.02	-0.03	0.05	-0.03
Q96PD5	0.15303	0.88996	0.10984	0.87152	0.44871	0.30677	0.37	0.03	-0.28	-0.03	-0.02	0.02
H0Y512;Q9HDC9	0.15447	0.34681	0.87684	0.94668	0.55501	0.15785	0.4	0.25	-0.03	0.01	0.01	0.02
P01742	0.15449	0.0605	0.98411	0.05006	0.2253	0.05298	0.83	1.04	-0.01	-0.94	0.08	-0.07
P04430	0.15559	0.2403	0.58002	0.97503	0.69268	0.25301	-0.89	-0.7	-0.22	0.01	-0.02	-0.04
P02652;V9GYM3	0.15709	0.50355	0.11697	0.6143	0.94972	0.48799	0.58	0.25	-0.42	0.16	0	0.02
P07358	0.16704	0.02715	0.32351	0.68255	0.55228	0.19096	0.35	0.53	-0.17	0.08	0.02	0.02
P01597;P04432	0.17041	0.21657	0.48689	0.85264	0.95288	0.83081	-0.82	-0.73	-0.25	0.08	0	0.01
A0A0G2JS06	0.17393	0.61498	0.8013	0.73292	0.50013	0.43523	-0.69	-0.24	-0.08	-0.14	-0.04	-0.02
P23083	0.17877	0.15696	0.49811	0.61019	0.88588	0.9037	-0.41	-0.39	-0.13	-0.12	0	0
Q13790	0.18028	0.7596	0.66241	0.21369	0.20653	0.76898	0.53	0.11	-0.11	0.37	0.05	0.01
A0A0C4DH31	0.18413	0.81946	0.15891	0.07447	0.36043	0.16052	-0.54	0.08	0.38	-0.56	0.04	-0.03
P07225	0.18483	0.16274	0.21373	0.93163	0.37986	0.02265	0.24	0.24	-0.15	0.01	0.02	0.03
P01593;P01594	0.18513	0.4076	0.99276	0.30273	0.37392	0.07717	-0.43	-0.24	0	-0.26	0.03	-0.03
A0A0C4DH39	0.19093	0.54835	0.52383	0.82984	0.95313	0.70197	-0.49	-0.21	-0.17	0.06	0	-0.01
P02042	0.19111	0.93917	0.34457	0.89663	0.24589	0.5127	0.98	0.05	-0.48	0.07	0.09	-0.03
P01034	0.19199	0.12615	0.53411	0.50103	0.95907	0.77912	-0.45	-0.48	-0.14	-0.18	0	0.01
P01700	0.19559	0.87987	0.54905	0.23626	0.27469	0.96347	0.41	0.04	-0.12	0.29	0.04	0
P02747	0.19802	0.31745	0.3767	0.99961	0.14222	0.43509	0.46	0.32	0.21	0	-0.05	0.02
A0A0U1RR20;Q92954;Q92954-3;Q92954-6	0.20267	0.57829	0.57223	0.50796	0.34638	0.81803	0.42	0.17	-0.12	-0.16	0.03	0
P01782	0.20551	0.18946	0.9938	0.7786	0.42586	0.58617	0.46	0.44	0	0.08	0.03	-0.01
G3V2W1;Q9UK55	0.20817	0.19204	0.19403	0.46179	0.37042	0.30447	0.43	0.42	-0.29	0.19	0.03	0.02
P04180	0.20865	0.35907	0.51297	0.22183	0.96398	0.07194	0.43	0.28	-0.15	0.32	0	0.04
P69905	0.21109	0.49861	0.30968	0.4438	0.19064	0.473	0.87	-0.43	-0.47	0.41	0.1	-0.03
P01718	0.21752	0.97932	0.12964	0.19787	0.22895	0.86089	-0.78	-0.02	-0.65	-0.62	0.08	0.01
E9PHK0;P05452	0.22164	0.00612	0.55336	0.43269	0.0554	0.5929	-0.38	-0.82	-0.12	0.19	0.06	0.01
P20742	0.22275	0.08278	0.94057	0.34702	0.36899	0.51985	1.15	1.5	-0.05	0.69	-0.09	0.04
Q9NZP8	0.22301	0.18754	0.17534	0.52363	0.69492	0.4532	0.43	0.42	-0.31	-0.17	-0.01	0.02
P19823	0.23035	0.15609	0.64738	0.59649	0.56527	0.88261	0.22	0.24	0.06	-0.08	0.01	0
O43866	0.23415	0.66952	0.30745	0.9085	0.59536	0.112	0.39	0.13	-0.22	0.03	-0.02	-0.03
A0A0B4J1V0	0.23785	0.48844	0.04754	0.66941	0.38728	0.90825	0.68	0.36	-0.76	0.19	0.05	0
P01817	0.24264	0.18909	0.6268	0.67456	0.45861	0.86732	-0.59	-0.63	-0.12	0.12	0.03	0
P00915	0.24864	0.98845	0.96986	0.45614	0.86303	0.93662	0.56	-0.01	0.01	0.26	-0.01	0
A0A075B6I9	0.25312	0.16798	0.90746	0.18063	0.96155	0.14229	-0.51	-0.58	0.04	0.48	0	-0.03
A0A075B7D8	0.25462	0.82112	0.67216	0.28948	0.48449	0.82593	-0.67	-0.12	0.16	-0.48	-0.04	0.01
P43652	0.2549	0.81239	0.11175	0.91169	0.95318	0.53566	0.33	0.06	-0.31	-0.02	0	0.01
P08185	0.2588	0.29751	0.12388	0.54628	0.41391	0.45434	0.52	0.45	-0.46	0.21	0.04	0.02
P01861	0.26027	0.73488	0.59035	0.64863	0.91683	0.48681	0.73	-0.2	-0.23	0.23	0.01	-0.03
P04196	0.26132	0.73441	0.66999	0.76207	0.77377	0.43518	0.3	-0.08	0.07	-0.06	0.01	0.01
P00748	0.26388	0.66433	0.31831	0.25631	0.32202	0.91118	0.4	-0.14	-0.23	0.31	0.04	0
Q68DL7	0.27103	0.54346	0.74697	0.78713	0.74714	0.51247	-0.47	-0.21	0.09	-0.09	-0.01	-0.02
P55058	0.28444	0.03744	0.00384	0.5013	0.72689	0.75315	-0.34	-0.65	-0.59	0.15	0.01	0.01
A0A096LPE2	0.28461	0.18228	0.69067	0.67916	0.51497	0.39232	0.52	0.6	-0.13	0.15	-0.03	0.02
A0A0C4DH73;P01611	0.29685	0.33253	0.47333	0.69307	0.53486	0.0455	-0.51	-0.44	-0.24	-0.15	0.03	0.06
P01714	0.306	0.95639	0.67066	0.16716	0.77747	0.99121	-0.6	0.03	-0.17	-0.64	-0.02	0
A0M8Q6	0.30808	0.82187	0.21274	0.61842	0.71822	0.7584	-0.53	-0.11	-0.35	-0.16	-0.02	-0.01
P55290;P55290-4	0.31519	0.47008	0.87866	0.41957	0.82528	0.93118	-0.13	-0.08	0.01	-0.09	0	0
P04275	0.31713	0.88107	0.16061	0.52797	0.27852	0.42705	-0.67	0.09	-0.61	0.31	-0.07	0.03
A0A0A0MS15	0.31934	0.25127	0.30709	0.72835	0.30124	0.52602	0.51	0.54	-0.35	-0.14	0.06	0.02
E7ETH0;G3XAM2;P05156	0.322	0.10802	0.64678	0.76175	0.68904	0.22551	0.19	0.29	0.06	0.04	-0.01	0.01
P01601	0.33061	0.70674	0.57575	0.0676	0.33074	0.49362	0.34	0.13	0.13	0.48	0.03	-0.01
A0A024R0T9;K7ER74;P02655	0.33131	0.65237	0.0177	0.76834	0.98105	0.03776	0.49	-0.22	-0.77	0.11	0	0.06
A0A075B6K5	0.33931	0.66575	0.19884	0.49141	0.28835	0.47628	0.32	0.13	-0.28	-0.18	0.04	-0.01
A0A0A0MS09;P01880;P01880-2	0.34265	0.43892	0.62856	0.35906	0.72351	0.69536	0.83	0.6	0.28	0.64	0.03	0.02
A0A0C4DH33	0.34432	0.30242	0.90782	0.65281	0.4362	0.58977	-0.49	-0.49	-0.04	-0.18	-0.04	-0.02
Q06033;Q06033-2	0.34668	0.00578	0.12092	0.00366	0.82344	0.47532	0.23	0.65	0.26	0.58	-0.01	0.01
P01762	0.35657	0.5259	0.48186	0.21905	0.83176	0.22182	-0.33	-0.2	0.18	-0.37	0.01	-0.03
Q08211	0.36105	0.53472	0.51068	0.76109	0.53224	0.44933	-0.25	-0.15	0.11	-0.06	-0.02	0.01
A0A0J9YXX1	0.36342	0.80731	0.1525	0.75535	0.90293	0.29343	1.23	-0.24	-1.23	0.37	0.02	-0.09
P0DOY2	0.37099	0.33751	0.48651	0.50892	0.94424	0.29807	-0.21	-0.21	0.11	-0.12	0	-0.01
P02768	0.37628	0.78739	0.09282	0.27543	0.78616	0.8444	0.15	-0.04	-0.19	-0.14	0	0
A0A075B6H9	0.38179	0.57907	0.34276	0.42408	0.79905	0.42664	0.46	0.27	-0.33	0.31	0.01	-0.02
P15169	0.38212	0.28306	0.1285	0.81374	0.70976	0.38863	0.31	0.36	-0.37	0.07	0.01	0.02
Q16610	0.38219	0.25019	0.58927	0.92144	0.30292	0.92922	-0.35	-0.42	-0.14	0.03	-0.04	0
A0A0J9YVT0;P0DP02	0.39528	0.4471	0.89306	0.96457	0.60431	0.46866	0.2	0.16	-0.02	0.01	0.01	-0.01
D6R934;P02746	0.39775	0.69083	0.41054	0.7998	0.36685	0.51067	0.3	0.13	0.19	0.07	-0.03	0.01
Q9Y6R7	0.41701	0.08482	0.82661	0.68448	0.35196	0.23299	0.33	0.65	0.06	0.13	-0.04	0.03
P14151;P14151-2	0.42221	0.18228	0.20789	0.15696	0.16762	0.71323	0.29	0.47	-0.31	-0.42	0.05	-0.01
O14791;O14791-2	0.42727	0.1054	0.26398	0.26666	0.72795	0.50387	0.32	0.6	-0.3	-0.34	-0.01	0.02
Q9UGM5	0.43305	0.03713	0.47712	0.38308	0.56913	0.70826	-0.21	-0.52	-0.12	-0.18	-0.02	-0.01
P01701	0.4354	0.84139	0.22353	0.78131	0.87434	0.64838	-0.27	0.06	-0.28	-0.07	0.01	-0.01
P03951;P03951-2	0.44541	0.96139	0.58285	0.69757	0.555	0.0837	0.51	-0.03	-0.16	-0.14	0.03	0.05
P0DJI9	0.44667	0.73256	0.73091	0.18924	0.65248	0.67951	-1.19	0.54	0.28	1.19	0.06	0.03
C9JF17;P05090	0.44752	0.96035	0.8175	0.45586	0.70402	0.21981	0.22	0.01	-0.04	0.17	-0.01	0.02
P23142-4	0.45633	0.82164	0.19791	0.37149	0.49007	0.59262	0.2	0.06	-0.22	-0.19	0.02	0.01
O75882-2	0.46291	0.92013	0.1031	0.35661	0.72805	0.29561	0.2	0.03	-0.3	0.2	-0.01	0.02
D6RF35	0.46838	0.89617	0.40906	0.76895	0.50115	0.03602	-0.4	0.07	-0.32	-0.13	-0.04	0.07
P32119	0.47572	0.72108	0.32637	0.52511	0.05064	0.27706	0.42	-0.19	-0.4	-0.29	0.12	-0.04
A0A0B4J2D9;P0DP09	0.47594	0.98691	0.40004	0.28441	0.83049	0.42614	-0.59	0.01	-0.47	-0.73	-0.02	0.04
A0A0A0MT69	0.48486	0.87034	0.9366	0.67859	0.56652	0.87971	0.33	0.07	0.03	0.15	-0.03	0
P01876	0.4849	0.24091	0.39728	0.6502	0.16954	0.49819	0.25	0.39	0.2	-0.12	0.05	0.01
A0A0B4J1V2	0.49049	0.16009	0.78758	0.26722	0.93355	0.51152	-0.35	-0.7	-0.08	0.37	0	-0.02
E9PFZ2	0.50142	0.62313	0.90412	0.77139	0.42451	0.8713	-0.86	-0.51	0.1	-0.29	-0.12	0.01
P02741	0.50457	0.00853	0.57677	0.49337	0.78143	0.5686	0.8	3.16	0.4	-0.54	-0.03	0.03
A0A075B6P5;P01615	0.51344	0.63767	0.81177	0.97156	0.75996	0.19279	0.26	0.17	0.06	-0.01	-0.01	-0.03
P36980;P36980-2	0.51849	0.36376	0.25003	0.58542	0.07492	0.14586	-0.23	0.3	0.28	-0.15	-0.07	0.03
G3XAP6;P49747	0.51972	0.11651	0.71804	0.01734	0.51528	0.75149	0.12	-0.25	0.04	0.37	-0.01	0
A0A075B6I0	0.52011	0.79991	0.36445	0.85053	0.83164	0.70287	-0.52	-0.19	0.49	0.12	0.02	0.02
P27169	0.52314	0.9741	0.2366	0.9385	0.99682	0.29593	0.21	-0.01	-0.25	-0.02	0	0.02
P00734	0.52437	0.16584	0.57068	0.36263	0.5034	0.2356	0.09	0.18	-0.05	-0.1	0.01	0.01
P02649	0.52609	0.41004	0.02353	0.74383	0.8431	0.29271	0.23	0.27	-0.55	-0.09	0.01	0.02
A0A075B6J9	0.52902	0.05351	0.08059	0.94438	0.05389	0.1921	-0.19	-0.56	-0.37	-0.02	0.06	-0.02
P07195	0.52913	0.50165	0.94309	0.53045	0.85965	0.45948	-0.25	-0.23	0.02	-0.14	-0.01	-0.01
P01699	0.53536	0.67742	0.21721	0.42736	0.12318	0.73038	-0.26	0.16	-0.34	-0.26	0.07	0.01
P22891;P22891-2	0.53709	0.69677	0.92279	0.92664	0.82078	0.58815	0.18	0.11	-0.02	0.02	-0.01	0.01
E7END6;P04070;P04070-2	0.54464	0.71252	0.07024	0.83397	0.74952	0.06458	0.21	-0.12	-0.38	-0.05	0.01	0.03
P41222	0.559	0.61828	0.76989	0.61626	0.41277	0.36479	-0.24	-0.19	0.08	0.15	-0.03	0.02
